split,seed,model,estimates,dimension,group,rows,mae,rmse,log_rmse
group,42,histgb,False,Town Code,10,168,83666.06855134411,118365.49153631613,0.3302056194213062
group,42,histgb,False,Town Code,11,509,46132.265894839926,63727.971916325005,0.34323132027468145
group,42,histgb,False,Town Code,12,676,31902.387066835385,46432.28512432512,0.42642138754825093
group,42,histgb,False,Town Code,13,844,34162.641757915095,42979.46249318936,0.3911143132795745
group,42,histgb,False,Town Code,14,84,36180.10352978671,46500.3193737371,0.590868815725418
group,42,histgb,False,Town Code,15,367,32744.10047642002,42485.14279971611,0.366520135704931
group,42,histgb,False,Town Code,16,548,45673.44931292805,63993.13642539061,0.22525123241532374
group,42,histgb,False,Town Code,17,264,86367.60888736862,107936.07344882225,0.30809913400881306
group,42,histgb,False,Town Code,18,842,30495.188560817765,39291.70368506923,0.2001416483017759
group,42,histgb,False,Town Code,19,192,51344.10173748818,71877.55498475725,0.23753158275064215
group,42,histgb,False,Town Code,20,796,37180.59462199694,50248.89762012059,0.2802250818805815
group,42,histgb,False,Town Code,21,774,64444.06896812028,90722.33084516267,0.33904988160204985
group,42,histgb,False,Town Code,22,867,52357.11128395083,72754.81658699687,0.22108924658761886
group,42,histgb,False,Town Code,23,300,91957.16942139632,111628.94288964025,0.2297163351576162
group,42,histgb,False,Town Code,24,719,50775.530653951886,69984.59298856897,0.22018437940425972
group,42,histgb,False,Town Code,25,579,78467.7192022044,102026.99590106356,0.2595031857102753
group,42,histgb,False,Town Code,26,295,45808.787826880725,63965.571811546775,0.21067600915514467
group,42,histgb,False,Town Code,27,414,83113.56125497713,111313.69761105998,0.2886611005355403
group,42,histgb,False,Town Code,28,554,38523.127074495846,53743.176509462086,0.21119207020319106
group,42,histgb,False,Town Code,29,845,49108.50737714517,70111.47836487427,0.21128867063132864
group,42,histgb,False,Town Code,30,283,52872.68955029122,73216.69970794609,0.30867711846563
group,42,histgb,False,Town Code,31,1477,43424.06556683597,62282.02847982629,0.3769727165187951
group,42,histgb,False,Town Code,32,740,31350.363940917006,42702.039614746296,0.36492277920356636
group,42,histgb,False,Town Code,33,92,117096.39893230429,141791.77653926867,0.30647138595146417
group,42,histgb,False,Town Code,34,178,56579.6952273758,78581.19656154391,0.2451170768720634
group,42,histgb,False,Town Code,35,772,37013.095800277755,51286.75956314385,0.20929545974651714
group,42,histgb,False,Town Code,36,360,34661.090699507164,47772.31048522608,0.3311624934842476
group,42,histgb,False,Town Code,37,1151,27451.625903334287,36588.075722034046,0.4465853191242252
group,42,histgb,False,Town Code,38,1136,52516.2887110119,71921.7681139182,0.2238020890931767
group,42,histgb,False,Town Code,39,1120,34969.82322509717,47035.23343878076,0.3076938542198673
group,42,histgb,False,Town Code,70,1313,42694.790479922776,61098.808022829064,0.5345924020510129
group,42,histgb,False,Town Code,71,3244,62483.68575913845,86984.02780620755,0.30245074204498995
group,42,histgb,False,Town Code,72,3729,39682.624730887575,54358.83615649987,0.4232012262749259
group,42,histgb,False,Town Code,73,185,105582.84164956835,130147.74315328753,0.2708516900580318
group,42,histgb,False,Town Code,74,13,152141.2338058089,224643.09558025564,0.8684247805468104
group,42,histgb,False,Town Code,75,168,66497.30808526596,88623.6194162617,0.2724184261532627
group,42,histgb,False,Town Code,76,230,62583.856413562076,93221.27147130315,0.3856487719975586
group,42,histgb,False,Town Code,77,793,64579.17481941601,92410.69826776808,0.49226397103410546
time,42,histgb,True,price_band,<100k,3012,24727.093154826784,43597.68200310269,0.4920581161490295
time,42,histgb,True,price_band,100k-250k,8216,67128.88018347927,79175.68921665243,0.590987105166755
time,42,histgb,True,price_band,250k-500k,7197,85222.95868029275,102554.29768000988,0.3987741054236362
time,42,histgb,True,price_band,500k-1m,1774,108222.68460949353,138568.37839595793,0.29208603034340647
time,42,histgb,True,Property Class,202,3308,64274.92141763651,84872.00170216782,0.6136025819410622
time,42,histgb,True,Property Class,203,9737,69986.09799238826,88572.20997638875,0.5137595462615434
time,42,histgb,True,Property Class,204,1264,73684.4456592921,94126.12291187297,0.3544937781080251
time,42,histgb,True,Property Class,205,2116,74133.29339999538,95162.56082427208,0.4761294285894519
time,42,histgb,True,Property Class,206,584,91762.28882245156,119350.94590182317,0.3768425579909464
time,42,histgb,True,Property Class,207,770,72815.13461844902,88218.27248216052,0.44654551278724736
time,42,histgb,True,Property Class,208,157,89409.65848072252,114467.86594137344,0.27916402363177756
time,42,histgb,True,Property Class,209,24,75929.08317108275,99378.09349259743,0.3084771832592595
time,42,histgb,True,Property Class,278,2239,72242.00591060927,94047.83342851208,0.2909739941958607
time,42,histgb,True,Town Code,10,107,91792.86092793311,119505.03897658737,0.379602272823414
time,42,histgb,True,Town Code,11,323,94534.37573914776,114768.19121261156,0.5866683232321837
time,42,histgb,True,Town Code,12,536,45693.26863964678,60162.610084180116,0.5463173747815047
time,42,histgb,True,Town Code,13,637,58494.59043843713,69121.55759997567,0.5667941069385143
time,42,histgb,True,Town Code,14,87,47556.234541399244,61243.51337508693,0.7534370436045617
time,42,histgb,True,Town Code,15,208,88458.74341079194,102494.7304441261,0.7420730152775186
time,42,histgb,True,Town Code,16,374,82114.73393133974,96865.70017327381,0.34361319076243174
time,42,histgb,True,Town Code,17,198,100359.86607796737,125225.10698188929,0.3899838819965111
time,42,histgb,True,Town Code,18,603,77815.8401208562,86682.27088609648,0.4733883767523959
time,42,histgb,True,Town Code,19,167,63511.12071263317,84327.35351807241,0.2531851252668298
time,42,histgb,True,Town Code,20,585,97245.32798872009,112460.90653516683,0.6082789471850683
time,42,histgb,True,Town Code,21,543,79240.83669882505,100705.91212324581,0.4345578797530809
time,42,histgb,True,Town Code,22,649,88207.55039301963,107782.55594400634,0.36145489221998217
time,42,histgb,True,Town Code,23,198,81230.95157902497,105820.37914618933,0.23130355298719982
time,42,histgb,True,Town Code,24,461,80779.02258106906,98056.00559134103,0.32221222606132666
